crop_name,maturity_type,stage_order,stage_name,gdd_from,gdd_to,water_need_mm,fertilize_needed,irrigate_needed,stage_tasks,stage_hazards,guide_text
두릅,MID,1,"씨뿌림, 아주심기,뿌리꽂이, 분주",0,74,,false,true,,가뭄,"씨뿌림: 3~4월 / 이듬해 아주심기: 3~4월 / 묘: 1, 100~1, 320개/10a / 아주심기 거리: 포기 사이 50~60cm, 골 사이 150cm / 시기: 3~4월 새순이 나오기 전 / 꺾꽂이순: 지름 0.5~1cm, 길이 10cm / 아주심기 거리: 줄간격 40~50cm, 폭 20cm 간격으로 꺾꽂이순을 평삽으로 놓고 3~5cm 깊이 흙덮기 / 방법: 포기부터 30~40cm 떨어진 지면 부위를 삽 등으로 찍어 잘라줌"
두릅,MID,2,수확,74,461,,false,false,,"과습,고온",어린순이 전개되어 12~15cm일 때 / 1차 수확 후 12~15일경 2차 수확 / 노지재배: 4~5월 / 하우스재배: 2~4월
들깨,EARLY,1,파종,0,582,,false,true,배수,가뭄,직파재배: 6월 중순 ~6월 하순 / 이식재배: 6월 중순 ~7월 상순(20~25일 육묘)
들깨,EARLY,2,신장기,582,1264,,false,false,김매기,,
들깨,EARLY,3,개화기,1264,1686,,false,false,,,
들깨,EARLY,4,수확,1686,1803,,false,false,,,"수확시기: 10월 상순 / 개화기로 부터 30일 후 수확 가능 / 흐린날 아침이나 저녁에 수확 / 줄기와 꼬투리가 황변하고, 종실이 흰색에서 갈색으로 변화 시작할 때"
들깨,MID,1,파종,0,634,,false,true,배수,가뭄,직파재배: 6월 중순 ~6월 하순 / 이식재배: 6월 중순 ~7월 상순(20~25일 육묘)
들깨,MID,2,신장기,634,1378,,false,false,김매기,,
들깨,MID,3,개화기,1378,1838,,false,false,,,
들깨,MID,4,수확,1838,1966,,false,false,,,"수확시기: 10월 상순 / 개화기로 부터 30일 후 수확 가능 / 흐린날 아침이나 저녁에 수확 / 줄기와 꼬투리가 황변하고, 종실이 흰색에서 갈색으로 변화 시작할 때"
들깨,LATE,1,파종,0,680,,false,true,배수,가뭄,직파재배: 6월 중순 ~6월 하순 / 이식재배: 6월 중순 ~7월 상순(20~25일 육묘)
들깨,LATE,2,신장기,680,1478,,false,false,김매기,,
들깨,LATE,3,개화기,1478,1972,,false,false,,,
들깨,LATE,4,수확,1972,2109,,false,false,,,"수확시기: 10월 상순 / 개화기로 부터 30일 후 수확 가능 / 흐린날 아침이나 저녁에 수확 / 줄기와 꼬투리가 황변하고, 종실이 흰색에서 갈색으로 변화 시작할 때"
딸기,MID,1,수확 기간,0,708,,false,false,,,
땅콩,EARLY,1,"비닐덮기,파종,잡초약쓰기",0,76,,false,false,"김매기,피복",저온,
땅콩,EARLY,2,유묘기,76,476,,false,true,"물주기,방제",가뭄,
땅콩,EARLY,3,"개화,신장기,자방병침투기",476,724,,false,false,배수,과습,
땅콩,EARLY,4,꼬투리비대기,724,1696,,false,false,방제,,
땅콩,EARLY,5,"수확, 건조, 저장",1696,1978,,false,false,수확후,,
땅콩,MID,1,"비닐덮기,파종,잡초약쓰기",0,81,,false,false,"김매기,피복",저온,
땅콩,MID,2,유묘기,81,511,,false,true,"물주기,방제",가뭄,
땅콩,MID,3,"개화,신장기,자방병침투기",511,777,,false,false,배수,과습,
땅콩,MID,4,꼬투리비대기,777,1821,,false,false,방제,,
땅콩,MID,5,"수확, 건조, 저장",1821,2123,,false,false,수확후,,
땅콩,LATE,1,"비닐덮기,파종,잡초약쓰기",0,85,,false,false,"김매기,피복",저온,
땅콩,LATE,2,유묘기,85,533,,false,true,"물주기,방제",가뭄,
땅콩,LATE,3,"개화,신장기,자방병침투기",533,809,,false,false,배수,과습,
땅콩,LATE,4,꼬투리비대기,809,1897,,false,false,방제,,
땅콩,LATE,5,"수확, 건조, 저장",1897,2212,,false,false,수확후,,
마늘,MID,1,발아기,0,143,,false,false,,,
마늘,MID,2,씨뿌림,143,516,,false,false,,,
마늘,MID,3,난지형 마늘 잎신장기,516,821,,false,false,피복,저온,
마늘,MID,4,월 동기,821,1010,,false,false,배수,"과습,저온",
마늘,MID,5,한지형 잎출현기 난지형 쪽분화기,1010,1282,,true,true,웃거름,가뭄,
마늘,MID,6,쪽비대기,1282,1474,,false,false,,,
마늘,MID,7,꽃대신장기,1474,1828,,false,false,,,
마늘,MID,8,수확(난지),1828,1961,,false,true,,"가뭄,과습",잎과 줄기가 2/3~1/2 황변할 때
매실,MID,1,"개화, 전엽",0,25,,true,false,웃거름,저온,
매실,MID,2,1차과실비대,25,62,,false,false,,,
매실,MID,3,신초신장,62,195,,false,false,,,
매실,MID,4,1차생리낙과기,195,374,,false,true,솎기,"가뭄,고온",
매실,MID,5,2차과실비대,374,620,,false,false,,,
매실,MID,6,2차생리낙과기,620,908,,true,false,"웃거름,순지르기",,
메밀,EARLY,1,"파종, 제초제 살포",0,445,,false,true,김매기,가뭄,
메밀,EARLY,2,개화기,445,986,,false,false,,,
메밀,EARLY,3,성숙기,986,1193,,false,false,,"과습,바람",
메밀,EARLY,4,"수확, 정선",1193,1432,,false,false,"밑거름,김매기,배수",,
메밀,LATE,1,"파종, 제초제 살포",0,532,,false,true,김매기,가뭄,
메밀,LATE,2,개화기,532,1180,,false,false,,,
메밀,LATE,3,성숙기,1180,1427,,false,false,,"과습,바람",
메밀,LATE,4,"수확, 정선",1427,1713,,false,false,"밑거름,김매기,배수",,
무,MID,1,씨뿌림,0,221,,false,false,,과습,
무,MID,2,잎신장기,221,537,,true,true,"웃거름,김매기,물주기,배수",가뭄,
무,MID,3,뿌리비대기,537,950,,false,false,,,
무화과,MID,1,발아기,0,329,,false,false,,,
무화과,MID,2,과실비대기,329,1218,,false,false,"순지르기,지주",과습,
무화과,MID,3,수확기,1218,2136,,false,false,수확후,고온,
밀,EARLY,1,파종·배토 밑거름 시비 제초제 살포,0,305,,false,false,"밑거름,김매기,배수,방제","과습,저온",
밀,EARLY,2,유묘기,305,354,,false,false,밑거름,,
밀,EARLY,3,월동,354,378,,false,false,,,
밀,EARLY,4,엽수·분얼 증가,378,455,,true,true,"웃거름,김매기,배수","가뭄,과습",
밀,EARLY,5,최고분얼기,455,587,,false,false,방제,저온,
밀,EARLY,6,출수기,587,653,,false,false,,,
밀,EARLY,7,등숙기,653,828,,false,true,,"가뭄,고온",
밀,EARLY,8,성숙기,828,1042,,false,false,,,
밀,EARLY,9,수확,1042,1160,,false,false,,바람,성숙기에서 4∼7일 후 종실수분이 20% 내외로 떨어질 때가 적기이며 출수 후 45일 정도임 / 수확 시 종실 수분함량이 30% 이상으로 높으면 콤바인 수확 시 손상립이 많아져 품질이 저하됨 / 밀 산물수매: 수분 20% 전후에 수확하여 건조
밀,MID,1,파종·배토 밑거름 시비 제초제 살포,0,398,,false,false,"밑거름,김매기,배수,방제","과습,저온",
밀,MID,2,유묘기,398,462,,false,false,밑거름,,
밀,MID,3,월동,462,493,,false,false,,,
밀,MID,4,엽수·분얼 증가,493,593,,true,true,"웃거름,김매기,배수","가뭄,과습",
밀,MID,5,최고분얼기,593,766,,false,false,방제,저온,
밀,MID,6,출수기,766,853,,false,false,,,
밀,MID,7,등숙기,853,1080,,false,true,,"가뭄,고온",
밀,MID,8,성숙기,1080,1361,,false,false,,,
밀,MID,9,수확,1361,1514,,false,false,,바람,성숙기에서 4∼7일 후 종실수분이 20% 내외로 떨어질 때가 적기이며 출수 후 45일 정도임 / 수확 시 종실 수분함량이 30% 이상으로 높으면 콤바인 수확 시 손상립이 많아져 품질이 저하됨 / 밀 산물수매: 수분 20% 전후에 수확하여 건조
밀,LATE,1,파종·배토 밑거름 시비 제초제 살포,0,514,,false,false,"밑거름,김매기,배수,방제","과습,저온",
밀,LATE,2,유묘기,514,597,,false,false,밑거름,,
밀,LATE,3,월동,597,636,,false,false,,,
밀,LATE,4,엽수·분얼 증가,636,766,,true,true,"웃거름,김매기,배수","가뭄,과습",
밀,LATE,5,최고분얼기,766,988,,false,false,방제,저온,
밀,LATE,6,출수기,988,1101,,false,false,,,
밀,LATE,7,등숙기,1101,1394,,false,true,,"가뭄,고온",
밀,LATE,8,성숙기,1394,1756,,false,false,,,
밀,LATE,9,수확,1756,1954,,false,false,,바람,성숙기에서 4∼7일 후 종실수분이 20% 내외로 떨어질 때가 적기이며 출수 후 45일 정도임 / 수확 시 종실 수분함량이 30% 이상으로 높으면 콤바인 수확 시 손상립이 많아져 품질이 저하됨 / 밀 산물수매: 수분 20% 전후에 수확하여 건조
방울토마토,MID,1,아주심기,0,272,,false,false,,,
방울토마토,MID,2,수확,272,692,,false,false,,,
배,EARLY,1,발아기,0,130,,false,false,,,
배,EARLY,2,개화 및 전엽기,130,340,,false,false,,저온,
배,EARLY,3,신초신장기,340,1325,,true,true,"웃거름,물주기,배수,솎기","가뭄,과습,바람,우박",
배,EARLY,4,꽃눈분화기,1325,2186,,false,false,지주,,
배,EARLY,5,조생종 수확,2186,2782,,false,false,,,
배,EARLY,6,중생종수확,2782,3213,,false,false,수확후,,
배,EARLY,7,만생종수확,3213,3453,,false,false,밑거름,,
배,MID,1,발아기,0,136,,false,false,,,
배,MID,2,개화 및 전엽기,136,356,,false,false,,저온,
배,MID,3,신초신장기,356,1387,,true,true,"웃거름,물주기,배수,솎기","가뭄,과습,바람,우박",
배,MID,4,꽃눈분화기,1387,2287,,false,false,지주,,
배,MID,5,조생종 수확,2287,2911,,false,false,,,
배,MID,6,중생종수확,2911,3362,,false,false,수확후,,
배,MID,7,만생종수확,3362,3613,,false,false,밑거름,,
배,LATE,1,발아기,0,138,,false,false,,,
배,LATE,2,개화 및 전엽기,138,362,,false,false,,저온,
배,LATE,3,신초신장기,362,1412,,true,true,"웃거름,물주기,배수,솎기","가뭄,과습,바람,우박",
배,LATE,4,꽃눈분화기,1412,2329,,false,false,지주,,
배,LATE,5,조생종 수확,2329,2965,,false,false,,,
배,LATE,6,중생종수확,2965,3424,,false,false,수확후,,
배,LATE,7,만생종수확,3424,3679,,false,false,밑거름,,
배추,EARLY,1,씨뿌림,0,94,,false,false,,,"시기: 순별 분산 씨뿌림 계획에 따라 분산 씨뿌림 / 씨앗양: 0.7㎗/10a / 용기: 플러그 128공, 200공 트레이 및 포트 / 모 기르기 일수: 20~30일 / 아주심는 거리: 60~65cm×30~40cm / 아주심기 주수: 4, 000~4, 500주/10a당"
배추,EARLY,2,"아주심기, 웃거름, 김매기, 물주기, 배수",94,186,,true,true,"웃거름,김매기,물주기,배수",,
배추,EARLY,3,잎과 줄기 신장기,186,501,,false,true,,"가뭄,과습",
배추,EARLY,4,결구기,501,588,,false,false,,,
배추,EARLY,5,수확,588,660,,false,true,,가뭄,
배추,MID,1,씨뿌림,0,106,,false,false,,,"시기: 순별 분산 씨뿌림 계획에 따라 분산 씨뿌림 / 씨앗양: 0.7㎗/10a / 용기: 플러그 128공, 200공 트레이 및 포트 / 모 기르기 일수: 20~30일 / 아주심는 거리: 60~65cm×30~40cm / 아주심기 주수: 4, 000~4, 500주/10a당"
배추,MID,2,"아주심기, 웃거름, 김매기, 물주기, 배수",106,209,,true,true,"웃거름,김매기,물주기,배수",,
배추,MID,3,잎과 줄기 신장기,209,563,,false,true,,"가뭄,과습",
배추,MID,4,결구기,563,661,,false,false,,,
배추,MID,5,수확,661,742,,false,true,,가뭄,
배추,LATE,1,씨뿌림,0,118,,false,false,,,"시기: 순별 분산 씨뿌림 계획에 따라 분산 씨뿌림 / 씨앗양: 0.7㎗/10a / 용기: 플러그 128공, 200공 트레이 및 포트 / 모 기르기 일수: 20~30일 / 아주심는 거리: 60~65cm×30~40cm / 아주심기 주수: 4, 000~4, 500주/10a당"
배추,LATE,2,"아주심기, 웃거름, 김매기, 물주기, 배수",118,232,,true,true,"웃거름,김매기,물주기,배수",,
배추,LATE,3,잎과 줄기 신장기,232,624,,false,true,,"가뭄,과습",
배추,LATE,4,결구기,624,733,,false,false,,,
배추,LATE,5,수확,733,823,,false,true,,가뭄,
벼,EARLY,1,모기르기,0,113,,false,false,밑거름,저온,
벼,EARLY,2,모내기때,113,623,,true,true,"웃거름,김매기,배수","가뭄,저온,바람",
벼,EARLY,3,이삭거름,623,874,,true,true,"웃거름,물주기",,
벼,EARLY,4,이삭팰때,874,1220,,false,false,,저온,
벼,EARLY,5,익음때,1220,1444,,false,false,배수,,
벼,EARLY,6,수확할때,1444,1521,,false,true,,가뭄,
벼,MID,1,모기르기,0,124,,false,false,밑거름,저온,
벼,MID,2,모내기때,124,680,,true,true,"웃거름,김매기,배수","가뭄,저온,바람",
벼,MID,3,이삭거름,680,954,,true,true,"웃거름,물주기",,
벼,MID,4,이삭팰때,954,1332,,false,false,,저온,
벼,MID,5,익음때,1332,1576,,false,false,배수,,
벼,MID,6,수확할때,1576,1660,,false,true,,가뭄,
벼,LATE,1,모기르기,0,130,,false,false,밑거름,저온,
벼,LATE,2,모내기때,130,716,,true,true,"웃거름,김매기,배수","가뭄,저온,바람",
벼,LATE,3,이삭거름,716,1005,,true,true,"웃거름,물주기",,
벼,LATE,4,이삭팰때,1005,1403,,false,false,,저온,
벼,LATE,5,익음때,1403,1661,,false,false,배수,,
벼,LATE,6,수확할때,1661,1749,,false,true,,가뭄,
보리,EARLY,1,파종·배토,0,236,,false,true,"밑거름,김매기,배수,방제","가뭄,과습",
보리,EARLY,2,유묘기,236,277,,false,false,밑거름,"과습,저온",
보리,EARLY,3,생육재생기,277,306,,false,true,배수,"가뭄,과습",
보리,EARLY,4,최고분얼기,306,417,,false,false,방제,저온,
보리,EARLY,5,신장기,417,549,,false,false,,,
보리,EARLY,6,성숙기,549,707,,false,true,방제,"가뭄,과습",
보리,EARLY,7,수확,707,910,,false,false,,,적기 수확: 출수 후 40~45일 사이에 낟알을 확인하여 판단 / 콤바인 이용시 인력보다 2~3일 후 수확
보리,MID,1,파종·배토,0,320,,false,true,"밑거름,김매기,배수,방제","가뭄,과습",
보리,MID,2,유묘기,320,376,,false,false,밑거름,"과습,저온",
보리,MID,3,생육재생기,376,415,,false,true,배수,"가뭄,과습",
보리,MID,4,최고분얼기,415,565,,false,false,방제,저온,
보리,MID,5,신장기,565,745,,false,false,,,
보리,MID,6,성숙기,745,959,,false,true,방제,"가뭄,과습",
보리,MID,7,수확,959,1234,,false,false,,,적기 수확: 출수 후 40~45일 사이에 낟알을 확인하여 판단 / 콤바인 이용시 인력보다 2~3일 후 수확
보리,LATE,1,파종·배토,0,426,,false,true,"밑거름,김매기,배수,방제","가뭄,과습",
보리,LATE,2,유묘기,426,499,,false,false,밑거름,"과습,저온",
보리,LATE,3,생육재생기,499,551,,false,true,배수,"가뭄,과습",
보리,LATE,4,최고분얼기,551,752,,false,false,방제,저온,
보리,LATE,5,신장기,752,990,,false,false,,,
보리,LATE,6,성숙기,990,1275,,false,true,방제,"가뭄,과습",
보리,LATE,7,수확,1275,1640,,false,false,,,적기 수확: 출수 후 40~45일 사이에 낟알을 확인하여 판단 / 콤바인 이용시 인력보다 2~3일 후 수확
복숭아,EARLY,1,발아기,0,49,,false,false,솎기,,
복숭아,EARLY,2,개화기,49,197,,false,true,"물주기,순지르기,지주",저온,
복숭아,EARLY,3,세포분열기 (과실비대1기),197,528,,true,true,웃거름,"가뭄,우박",
복숭아,EARLY,4,경핵기 (과실비대2기),528,984,,false,false,솎기,,
복숭아,EARLY,5,조생종수확,984,1322,,false,false,배수,과습,
복숭아,EARLY,6,꽃눈분화기,1322,1526,,false,false,,,
복숭아,EARLY,7,종생종수확,1526,2063,,true,false,웃거름,,
복숭아,EARLY,8,만생종수확,2063,2541,,false,false,"순지르기,수확후",바람,
복숭아,MID,1,발아기,0,53,,false,false,솎기,,
복숭아,MID,2,개화기,53,212,,false,true,"물주기,순지르기,지주",저온,
복숭아,MID,3,세포분열기 (과실비대1기),212,570,,true,true,웃거름,"가뭄,우박",
복숭아,MID,4,경핵기 (과실비대2기),570,1063,,false,false,솎기,,
복숭아,MID,5,조생종수확,1063,1427,,false,false,배수,과습,
복숭아,MID,6,꽃눈분화기,1427,1648,,false,false,,,
복숭아,MID,7,종생종수확,1648,2227,,true,false,웃거름,,
복숭아,MID,8,만생종수확,2227,2743,,false,false,"순지르기,수확후",바람,
복숭아,LATE,1,발아기,0,55,,false,false,솎기,,
복숭아,LATE,2,개화기,55,222,,false,true,"물주기,순지르기,지주",저온,
복숭아,LATE,3,세포분열기 (과실비대1기),222,596,,true,true,웃거름,"가뭄,우박",
복숭아,LATE,4,경핵기 (과실비대2기),596,1109,,false,false,솎기,,
복숭아,LATE,5,조생종수확,1109,1490,,false,false,배수,과습,
복숭아,LATE,6,꽃눈분화기,1490,1721,,false,false,,,
복숭아,LATE,7,종생종수확,1721,2325,,true,false,웃거름,,
복숭아,LATE,8,만생종수확,2325,2864,,false,false,"순지르기,수확후",바람,
부추,MID,1,씨뿌림,0,107,,false,false,,,시기: 3월 하순~4월 중순 / 씨앗양: 파종구당 7~10립(20ℓ/10a) / 재배이랑: 90cm / 통로: 30~50cm / 줄사이: 20cm / 포기 사이: 20cm
부추,MID,2,"물주기, 잡초관리, 병해충 방제 및 수확, 꽃대신장 시 꽃대 제거",107,2815,,false,true,"김매기,물주기,방제,수확후",과습,
부추,MID,3,수확,2815,3231,,false,false,,,베는 부위가 낮을수록 재생엽 끝이 깨끗함
부추,MID,4,휴면,3231,3299,,false,true,,가뭄,
브로콜리,MID,1,씨뿌림,0,154,,false,false,,,시기: 3월 중순~5월 중순 / 씨앗양: 40㎖/10a
브로콜리,MID,2,"발아, 어린 모 시기(유모기)",154,350,,false,false,,저온,
브로콜리,MID,3,아주심기,350,897,,true,false,웃거름,,시기: 5월 중순~6월 하순
브로콜리,MID,4,생육기,897,1516,,true,true,웃거름,가뭄,
브로콜리,MID,5,수확,1516,2353,,true,true,웃거름,가뭄,줄기를 15∼20cm 길이로 자르고 잎줄기를 2∼3개 붙여서 수확 / 기온이 높을 때에는 약간 어린것을 수확하며 꽃봉오리 온도가 올라가지 않도록 아침에 수확
블루베리,MID,1,발아기,0,35,,false,false,,,
블루베리,MID,2,개화기,35,90,,false,true,,가뭄,
블루베리,MID,3,"착과기, 과실비대기",90,509,,true,false,"웃거름,솎기",,
블루베리,MID,4,수확기,509,1381,,true,false,웃거름,,"과일의 표면이 착색되고 4~5일이 경과한 시기 / 최고 당도, 최대 과실 크기"
비트,MID,1,씨뿌림,0,688,,true,true,"웃거름,김매기","가뭄,과습,고온",
비트,MID,2,수확,688,1830,,false,false,밑거름,,"잎이 7~8매, 뿌리 지름이 5~6cm 이상 자랐을 때 수확 / 봄, 여름의 수확은 저녁 때 하여 시듦 방지 / 수확이 늦어지면 섬유질이 발달하여 맛이 떨어짐"
사과,EARLY,1,"발아, 전엽",0,172,,false,false,방제,"저온,고온",
사과,EARLY,2,개화,172,261,,false,false,,,
사과,EARLY,3,생장비대,261,1151,,true,true,"웃거름,순지르기,솎기,지주","가뭄,고온",
사과,EARLY,4,꽃눈분화,1151,1755,,false,false,,,
사과,EARLY,5,조생종 수확,1755,2410,,false,false,,,
사과,EARLY,6,성숙 착색,2410,2619,,false,false,솎기,과습,
사과,EARLY,7,중생종수확,2619,3217,,false,false,,,
사과,EARLY,8,만생종수확,3217,3395,,true,false,웃거름,바람,
사과,MID,1,"발아, 전엽",0,183,,false,false,방제,"저온,고온",
사과,MID,2,개화,183,277,,false,false,,,
사과,MID,3,생장비대,277,1223,,true,true,"웃거름,순지르기,솎기,지주","가뭄,고온",
사과,MID,4,꽃눈분화,1223,1864,,false,false,,,
사과,MID,5,조생종 수확,1864,2561,,false,false,,,
사과,MID,6,성숙 착색,2561,2782,,false,false,솎기,과습,
사과,MID,7,중생종수확,2782,3418,,false,false,,,
사과,MID,8,만생종수확,3418,3607,,true,false,웃거름,바람,
사과,LATE,1,"발아, 전엽",0,188,,false,false,방제,"저온,고온",
사과,LATE,2,개화,188,285,,false,false,,,
사과,LATE,3,생장비대,285,1258,,true,true,"웃거름,순지르기,솎기,지주","가뭄,고온",
사과,LATE,4,꽃눈분화,1258,1917,,false,false,,,
사과,LATE,5,조생종 수확,1917,2633,,false,false,,,
사과,LATE,6,성숙 착색,2633,2861,,false,false,솎기,과습,
사과,LATE,7,중생종수확,2861,3515,,false,false,,,
사과,LATE,8,만생종수확,3515,3709,,true,false,웃거름,바람,
사료용 귀리,MID,1,파종,0,30,,false,false,,,봄 재배: 3월 상순~중순 / 가을재배: 8월 중순~하순
사료용 귀리,MID,2,발아기,30,172,,false,true,,가뭄,
사료용 귀리,MID,3,생육중기,172,434,,false,false,,과습,
